年份,特材代碼,特材代碼前五碼,核價類別名稱,中英文品名,產品型號/規格,單位,支付點數,申請者簡稱,許可證字號
111, ACM01MA3PTGJ,ACM01,多路連接頭/3-PORTS 及中壓連接管(可達500psi), MANIFOLDS (3 PORT 500PSI W/PVC PT)多路引流器(含PVC壓力連接管),06-003005-04;06(06-003006-04;06-003006-06自1041101生效), 個,218.0,吉生,衛署醫器製字第003065號
111, ACM01MA4PUGJ,ACM01,多路連接頭/4-PORTS 及高壓連接管(雙層可達1200psi)," ""JSM""MANIFOLDS(4 PORT/500PSI W/PU 1200PSI)""吉生""多路引流器",06-024005-04;06, SET,287.0,吉生,衛署醫器製字第003227號
111, ACM01504RXMR,ACM01,多路連接頭/4-PORTS 及高壓連接管(雙層可達1200psi), MANIFOLD 4 PORTS 200PSI;500PSI WITH HIGH PRESSURE TUBING 雙層 (可達1200PSI),204HF-RX;504HF-RX, EA,287.0,科達,衛署醫器輸字第010140號
111, ACM01MA4PTGJ,ACM01,多路連接頭/4-PORTS 及中壓連接管(可達500psi), MANIFOLDS (4 PORT 500PSI W/PVC PT)多路引流器(含PVC壓力連接管),06-004005-04;06, EA,278.0,吉生,衛署醫器製字第003065號
111, ACM01M2P2HGJ,ACM01,多路連接頭/2-PORTS(500PSI)+2條中壓連接管(PVC可達500psi)+1條高壓連接管(雙層PU可達1200PSI)," ""JSM"" 2-PORTS MANIFOLDS (500PSI)+2條PRESSURE TUBING (PVC可達500PSI)+1條HIGH PRESSURE TUBING (雙層PU可達1200PSI)""吉生""多路引流器",06-102;122;202;242;302;362;402;482;602;722;842;962-101;201;301;481;721-12, SET,464.0,吉生,衛署醫器製字第003388號
111, ACM01M3P2HGJ,ACM01,多路連接頭/3-PORTS(500PSI)+2條中壓連接管(PVC可達500psi)+1條高壓連接管(雙層PU可達1200PSI)," ""JSM"" 3-PORTS MANIFOLDS (500PSI)+2條PRESSURE TUBING (PVC可達500PSI)+1條HIGH PRESSURE TUBING (雙層PU可達1200PSI)""吉生""多路引流器",06-102;122;202;242;302;362;402;482;602;722;842;962-101;201;301;481;721-13, SET,478.0,吉生,衛署醫器製字第003388號
111, ACM01M4P2HGJ,ACM01,多路連接頭/4-PORTS(500PSI)+2條中壓連接管(PVC可達500psi)+1條高壓連接管(雙層PU可達1200PSI)," ""JSM"" 4-PORTS MANIFOLDS (500PSI)+2條PRESSURE TUBING (PVC可達500PSI)+1條HIGH PRESSURE TUBING (雙層PU可達1200PSI)""吉生""多路引流器",06-102;122;202;242;302;362;402;482;602;722;842;962-101;201;301;481;721-14, SET,523.0,吉生,衛署醫器製字第003388號
111, ACM01MA2PUGJ,ACM01,多路連接頭/2-PORTS 及高壓連接管(雙層可達1200psi)," ""JSM""MANIFOLDS(2 PORT/500PSI W/PU 1200PSI)""吉生""多路引流器",06-022005-04;06;06-122005-04;06, SET,287.0,吉生,衛署醫器製字第003227號
111, ACM012HFRXMR,ACM01,多路連接頭/2-PORTS 及高壓連接管(雙層可達1200psi), MANIFOLD 2-PORTS W/ HIGH PRESSURE TUBING(雙層可達1200PSI),202HF-RX;502HF-RX, EA,287.0,科達,衛署醫器輸字第010140號
111, ACM01MA3PUGJ,ACM01,多路連接頭/3-PORTS 及高壓連接管(雙層可達1200psi)," ""JSM""MANIFOLDS(3 PORT/500PSI W/PU 1200PSI)""吉生""多路引流器",06-023005-04;06, SET,287.0,吉生,衛署醫器製字第003227號
111, ACM01253RXMR,ACM01,多路連接頭/3-PORTS 及高壓連接管(雙層可達1200psi), MANIFOLD 3 PORTS 200PSI;500PSI WITH HIGH PRESSURE TUBING 雙層 (可達1200PSI),203HF-RX;503HF-RX, EA,287.0,科達,衛署醫器輸字第010140號
111, ACM01MA2PVGJ,ACM01,多路連接頭/2-PORTS 及高壓連接管(單層PVC可達1000psi)," ""JSM""MANIFOLDS(2 PORT/500PSI W/PVC 1000PSI)""吉生""多路引流器",06-012005-04;06;06-112005-04;06, SET,250.0,吉生,衛署醫器製字第003227號
111, ACM01MA3PVGJ,ACM01,多路連接頭/3-PORTS 及高壓連接管(單層PVC可達1000psi)," ""JSM""MANIFOLDS(3 PORT/500PSI W/PVC 1000PSI)""吉生""多路引流器",06-013005-04;06, SET,250.0,吉生,衛署醫器製字第003227號
111, ACM01MA4PVGJ,ACM01,多路連接頭/4-PORTS 及高壓連接管(單層PVC可達1000psi)," ""JSM""MANIFOLDS(4 PORT/500PSI W/PVC 1000PSI)""吉生""多路引流器",06-014005-04;06, SET,250.0,吉生,衛署醫器製字第003227號
111, ACP01CA123R5,ACP01,開心用灌流接頭/直型、Y型接頭," ""里凡諾瓦""心臟麻痺轉接器(開心用灌流接頭/直型、Y型接頭)""LivaNova"" CARDIOPLEGIA ADAPTERS",CA-10010;CA-10020;CA-10030;CA-10040;CA-11030, 個,88.0,中訊企業,衛署醫器輸字第010379號
111, ACP0147166GJ,ACP01,開心用灌流接頭/直型、Y型接頭, “吉生”體外循環管組-Y型&直型&漸細連接器(附LUER) ”JSM” HEART LUNG PACK-Y&STRAIGHT&REDUCER CONNECTOR(WITH LUER),47-000021:22-01:1247-000054:55-01:0447-000166:167-01:04(47-000167-00自1040301生效), 個,88.0,吉生,衛署醫器製字第003920號
111, ACP01ECTBSM6,ACP01,開心用灌流接頭/直型、Y型接頭, EXTRACORPOREAL TUBING STRAIGHT CONNECTOR,ECTB/CP2283, EA,88.0,宇仁,衛署醫器製字第001033號
111, ACP01ECTBYM6,ACP01,開心用灌流接頭/直型、Y型接頭, EXTRACORPOREAL TUBING Y-CONNECTOR,ECTB/CP3341;ECTB/CP3383, EA,88.0,宇仁,衛署醫器製字第001033號
111, ACP0146201H9,ACP01,開心用灌流接頭/直型、Y型接頭," ""華億""體外循環管組""HYM""HEART LUNG PACK-Y & STRAIGHT & REDUCER CONNECTOR(WITH LUER)",47-000021-01:10;47-000022-01:10;47-000054-01:04;47-000055-01:04;47-000166-01:04;47-000167-00:01, EA,88.0,華億,衛署醫器製字第001297號
111, ACPD1C4129BT,ACPD1,腹膜透析鈦接頭," ""百特""鈦金屬接頭 ""BAXTER"" ADAPTER FOR PERITONEAL DIALYSIS CATHETER",5C4129, EA,1482.0,百特,衛署醫器輸字第007745號
111, ACPD1MTC01M0,ACPD1,腹膜透析鈦接頭, “美康”腹膜透析導管及配件：鈦金屬接頭“MEDCOMP” PERITONEAL DIALYSIS CATHETER AND ACCESSORIES,MTC, 組,1482.0,百特,衛部醫器輸字第030203號
111, ACPTC9140068,ACPTC,PTCA氣球導管或導引管用接頭/單Y型," ""美得靈"" 娜米克摩斯Y型轉接頭""MEDLINE"" NAMIC MORSE Y-ADAPTOR",H965914000251;H965914000281;H965914002251;H965914002281, 個,931.0,六霖,衛署醫器輸字第010462號
111, ACY0191400SB,ACY01,PTCA氣球導管或導引管用接頭/單Y型, NAMIC MORSE Y ADAPTOR,H965914000251;H965914000281;H965914002251;H965914002281, EA,931.0,六霖,衛署醫器輸字第010462號
111, ACY01NYC00GJ,ACY01,PTCA氣球導管或導引管用接頭/單Y型," ""JSM""Y CONNECTOR KIT ""吉生""Y 型連接器組",09-110001-01, EA,931.0,吉生,衛署醫器製字第003751號
111, ACY01NYC10GJ,ACY01,PTCA氣球導管或導引管用接頭/單Y型," ""JSM""Y CONNECTOR KIT W/INSERTION TOOL""吉生""Y 型連接器組含導引支撐器",09-110101-01, EA,931.0,吉生,衛署醫器製字第003751號
111, ACY01NYC11GJ,ACY01,PTCA氣球導管或導引管用接頭/單Y型," ""JSM""Y CONNECTOR KIT W/INSERTION TOOL+TORQUE DEVICE""吉生""Y型連接器組(含導引支撐器+扭力控制器)",09-110111-01, EA,931.0,吉生,衛署醫器製字第003751號
111, ACY01YK100GJ,ACY01,PTCA氣球導管或導引管用接頭/單Y型," ""吉生""Y 型連接器組""JSM""Y CONNECTOR KIT",09-900100-01;(09-200100-01自1030701生效), EA,931.0,吉生,衛署醫器製字第003380號
111, ACY01YK110GJ,ACY01,PTCA氣球導管或導引管用接頭/單Y型," ""吉生""Y 型連接器組(含導引支撐器)""JSM""Y CONNECTOR KIT(INSERTION TOOL)",09-900110-01;(09-200110-01自1030701生效), EA,931.0,吉生,衛署醫器製字第003380號
111, ACY01YK111GJ,ACY01,PTCA氣球導管或導引管用接頭/單Y型," ""吉生""Y 型連接器組(含導引支撐器+扭力控制器)""JSM""Y CONNECTOR KIT(INSERTION TOOL+TORQUE DEVICE)",09-900111-01;(09-200111-01自1030701生效), EA,931.0,吉生,衛署醫器製字第003380號
111, ACY01CFM02CK,ACY01,PTCA氣球導管或導引管用接頭/單Y型, “曲克”闕克芙爾止血轉接頭“COOK” CHECK-FLO HEMOSTASIS ASSEMBLY,CFM-100, 組,931.0,曲克,衛部醫器輸字第033241號
111, ACY01HV001BQ,ACY01,PTCA氣球導管或導引管用接頭/單Y型," ""邦特""Y型連接器組""BIOTEQ"" Y CONNECTOR SET",BT-HV-7:9SFLCR-TB;BT-HV-7:9PFLCR-TB;BT-HV-7:9CFLCR-TB;BT-HV-7:9SPLCR-TB;BT-HV-7:9PPLCR-TB;BT-HV-7:9CPLCR-TB;BT-HV-7:9SFCR-TB;BT-HV-7:9PFCR-TB;BT-HV-7:9CFCR-TB;BT-HV-7:9SPCR-TB;BT-HV-7:9PPCR-TB;BT-HV-7:9CPCR-TB;BT-HV-7:9SFLCW-TB;BT-HV-7:9PFLCW-TB;BT-HV-7:9CFLCW-TB;BT-HV-7:9SPLCW-TB;BT-HV-7:9PPLCW-TB;BT-HV-7:9CPLCW-TB;BT-HV-7:9SFCW-TB;BT-HV-7:9PFCW-TB;BT-HV-7:9CFCW-TB;BT-HV-7:9SPCW-TB;BT-HV-7:9PPCW-TB;BT-HV-7:9CPCW-TB;BT-HV-7:9SFLPW-TB;BT-HV-7:9PFLPW-TB;BT-HV-7:9CFLPW-TB;BT-HV-7:9SPLPW-TB;BT-HV-7:9PPLPW-TB;BT-HV-7:9CPLPW-TB;BT-HV-7:9SFPW-TB;BT-HV-7:9PFPW-TB;BT-HV-7:9CFPW-TB;BT-HV-7:9SPPW-TB;BT-HV-7:9PPPW-TB;BT-HV-7;9CPPW-TB, 組,931.0,邦特,衛部醫器製字第004801號
111, ACY01HV002BQ,ACY01,PTCA氣球導管或導引管用接頭/單Y型," ""邦特""Y型連接器組""BIOTEQ"" Y CONNECTOR SET",BT-HV-7SFL-TB;BT-HV-7PFL-TB;BT-HV-7CFL-TB;BT-HV-7SPL-TB;BT-HV-7PPL-TB;BT-HV-7CPL-TB;BT-HV-8SFL-TB;BT-HV-8PFL-TB;BT-HV-8CFL-TB;BT-HV-8SPL-TB;BT-HV-8PPL-TB;BT-HV-8CPL-TB;BT-HV-9SFL-TB;BT-HV-9PFL-TB;BT-HV-9CFL-TB;BT-HV-9SPL-TB;BT-HV-9PPL-TB;BT-HV-9CPL-TB, 組,931.0,邦特,衛部醫器製字第004801號
111, ACY01HV003BQ,ACY01,PTCA氣球導管或導引管用接頭/單Y型," ""邦特""Y型連接器組""BIOTEQ"" Y CONNECTOR SET",BT-HV-7SF-TB;BT-HV-7PF-TB;BT-HV-7CF-TB;BT-HV-7SP-TB;BT-HV-7PP-TB;BT-HV-7CP-TB;BT-HV-8SF-TB;BT-HV-8PF-TB;BT-HV-8CF-TB;BT-HV-8SP-TB;BT-HV-8PP-TB;BT-HV-8CP-TB;BT-HV-9SF-TB;BT-HV-9PF-TB;BT-HV-9CF-TB;BT-HV-9SP-TB;BT-HV-9PP-TB;BT-HV-9CP-TB, 組,931.0,邦特,衛部醫器製字第004801號
111, ACY01MAP13MR,ACY01,PTCA氣球導管或導引管用接頭/單Y型, MONIFOLD W/HEMOSTASIS VALVE 200PSI 單Y型,MAP111:114;400;403;450;453, EA,931.0,科達,衛署醫器輸字第010140號
111, ACY01FL3HVMR,ACY01,PTCA氣球導管或導引管用接頭/單Y型, “美瑞特” 飛鷺止血閥“MERIT” FLO 30 HEMOSTASIS VALVE,FLO30, 個,931.0,美瑞特,衛部醫器輸字第034323號
111, ACY01MAP32MR,ACY01,PTCA氣球導管或導引管用接頭/單Y型, HONOR HEMOSTASIS VALVE ANGIOPLASTY PACK,MAP300;301;302;350;351;352, EA,931.0,美瑞特,衛署醫器輸字第019364號
111, ACY01MAP45MR,ACY01,PTCA氣球導管或導引管用接頭/單Y型," ""MERIT""ANGIOPLASTY PACKS & HEMOSTASIS VALVES""美瑞特""血管成型術止血閥組",MAP102;MAP112;MAP453;(MAP101;103;104;111;113;114;150:154;400;403;450;自1010401生效), EA,931.0,美瑞特,衛署醫器輸字第019723號
111, ACY01MAP80MR,ACY01,PTCA氣球導管或導引管用接頭/單Y型, “美瑞特”博士止血閥門“MERIT” PHD HEMOSTASIS VALVE,MAP800;MAP801;MAP802;MAP803;MAP804, 組,931.0,美瑞特,衛部醫器輸字第029425號
111, ACY01HVA8FMR,ACY01,PTCA氣球導管或導引管用接頭/單Y型, “美瑞特”止血閥門配接器“MERIT MEDICAL” HEMOSTASIS VALVE ADAPTER,HVA-100, 組,931.0,香港商美瑞特,衛部醫器輸字第027453號
111, ACY010KAY2GG,ACY01,PTCA氣球導管或導引管用接頭/單Y型," ""GOODTEC""Y-CONNECTOR SET ""固德克""Y型連接器套組",YOKOA;YOKOB;YOKOE, SET,931.0,連鎰,衛署醫器輸字第022814號
111, ACPTCPFLPW5S,ACPTC,PTCA氣球導管或導引管用接頭/單Y型," ""昕力""一次性使用Y型連接器套件""SUNMED"" HAEMOSTATIC VALVES",SM-HV-8PFLPW-TB, 組,931.0,凱薩琳,衛部醫器陸輸字第000977號
111, ACPTCYCNTR8R,ACPTC,PTCA氣球導管或導引管用接頭/單Y型, “亞提斯” Y型連接器“ARTHESYS” Y-CONNECTOR,18020005:18020013, 組,931.0,凱薩琳,衛部醫器輸字第034464號
111, ACY01KESU1NX,ACY01,PTCA氣球導管或導引管用接頭/單Y型," ""尼瓦西斯""Y型接頭組:氣球導管或導引管用接頭(單Y型)""MINVASYS"" Y-CONNECTOR",KESU0001;KESU0003;(KESU0002自1070101起生效);(KESU0004;KESU0006自1070701起生效), 組,931.0,凱薩琳,衛署醫器輸字第011676號
111, ACY0103331AB,ACY01,PTCA氣球導管或導引管用接頭/單Y型, COPILOT BLEEDBACK CONTROL VALVE Y ADAPTOR,1003331, EA,931.0,雅培,衛署醫器輸字第009632號
111, ACY010262NRV,ACY01,PTCA氣球導管或導引管用接頭/單Y型," ""普魯斯""斯溫止血閥(含三通活栓或含凹型魯爾接頭+金屬導線導引器+扭矩裝置)""PEROUSE""SWAN HAEMOSTASIS VALVE",0262-NA;NB;NC;ND, 組,931.0,興?,衛部醫器輸字第033227號
111, ACY01MAP22MR,ACY01,PTCA氣球導管或導引管用接頭/雙Y型, ANGIOPLASTIC PACK & DOUBLE HEMOSTASIS VALVES,MAP221, EA,950.0,美瑞特,衛署醫器輸字第019723號
111, ACS017001568,ACS01,三路活塞接頭," ""美得靈""三方向娜米克摩斯活塞""MEDLINE"" 3-WAY NAMIC MORSE STOPCOCK(200PSI)",H965700150001;H965700150011;H965700150021;H965700150031, 個,7.8,六霖,衛署醫器輸字第010409號
111, ACS0109512BB,ACS01,三路活塞接頭," DISCOFIX C-3/-3 MULTIDIRECTIONAL STOPCOCKS""柏朗""輸液轉換閥",4095111;4095120, EA,7.8,台灣柏朗,衛署醫器輸字第019852號
111, ACS011VN40Q4,ACS01,三路活塞接頭, “尼得立斯”藥物準備系統輸液接頭-塑膠三極栓“NEEDLELESS” DRUG PREPARATION SYSTEM AND NEEDLELESS INJECTION ACCESS DEVICE-3WAY STOPCOCK,IVN401;IVN402, 個,7.8,尼得立斯,衛部醫器製字第005723號
111, ACC02VP004LL,ACC02,三路活塞接頭, 3 WAY,CVP-004, EA,7.8,怡安,衛署醫器製字第000924號
111, ACS01VP004LL,ACS01,三路活塞接頭," ""LILY""3 WAY STOPCOCK""怡安""輸液三通閥",CVP-004, EA,7.8,怡安,衛署醫器製字第003251號
111, ACS013CAPSM8,ACS01,三路活塞接頭, 3 WAY STOPCOCK,R1-FL-3CAPS, EA,7.8,特浦,衛署醫器輸字第010515號
111, ACS01A010VPW,ACS01,三路活塞接頭," ""普惠""三通閥""PERFECT""3-WAY STOPCOCK",A01, 個,7.8,普惠,衛部醫器輸字第032280號
111, ACS01D010NPW,ACS01,三路活塞接頭, DISPOSABLE INFUSION SET 3 WAY STOPCOCK,D01;D02;D03;D04, EA,7.8,普惠,衛署醫器製字第000505號
111, ACS01NCN3SNR,ACS01,三路活塞接頭, 3 WAY STOPCOCK 塑膠三極栓,#NCN3, EA,7.8,華江,衛署醫器輸字第011161號
111, ACS01STP34H9,ACS01,三路活塞接頭," ""華億""體外循環管組""HYM""HEART LUNG PACK-3 & 4 WAY STOPCOCKS",46-000160-00:02;46-000159-00;46-000157-00:01;46-000158-00, EA,7.8,華億,衛署醫器製字第001297號
111, ACS01AM04L3B,ACS01,三路活塞接頭," ""康德萊""旋塞閥""KDL""STOPCOCK(45PSI)",AM0101:AM0104, 個,7.8,廣翼,衛部醫器陸輸字第000635號
111, ACS01TS201SG,ACS01,三路活塞接頭, 3 WAY STOPCOCK W/LOCK,SMTS0201, EA,7.8,聯和,衛署醫器製字第000973號
111, ACS017005568,ACS01,HIGH PRESSURE STOPCOCK 〉=800PSI(接測壓導管或檢查導管或注射造影藥劑)," ""美得靈""三方向娜米克摩斯活塞""MEDLINE"" 3-WAY NAMIC MORSE STOPCOCK(1050PSI)",H965700550031;H965700550081;H965700550091, 個,70.0,六霖,衛署醫器輸字第010409號
111, ACS01H3SNCMR,ACS01,HIGH PRESSURE STOPCOCK 〉=800PSI(接測壓導管或檢查導管或注射造影藥劑), MARQUIES SERIES STOPCOCKS 1050PSI,H3SNC, EA,70.0,科達,衛署醫器輸字第010266號
111, ACS0168MPATP,ACS01,HIGH PRESSURE STOPCOCK 〉=800PSI(接測壓導管或檢查導管或注射造影藥劑), PREDURA PRESSURE RESISTAN THREE WAY STOPCOCK 1000PSI,6.8MPA, EA,70.0,特浦,衛署醫器輸字第011274號
111, ACS01V68MPTP,ACS01,HIGH PRESSURE STOPCOCK 〉=800PSI(接測壓導管或檢查導管或注射造影藥劑), PREDURA PRESSURE RESISTAN THREE WAY STOPCOCK V-TYPE 1000PSI,6.8MPA, EA,70.0,特浦,衛署醫器輸字第011274號
111, ACS01AM06H3B,ACS01,HIGH PRESSURE STOPCOCK 〉=800PSI(接測壓導管或檢查導管或注射造影藥劑)," ""康德萊""旋塞閥""KDL""STOPCOCK(1200PSI)",AM0106;AM0109, 個,70.0,廣翼,衛部醫器陸輸字第000635號
111, ACM01PT003CK,ACM01,三路活塞連接頭/附LEUK，2-PORTS, 2-PORTS MANIFOLD 連接頭,2PTWS-MLL-R;L, EA,250.0,曲克,衛署醫器輸字第009727號
111, ACS017003568,ACS01,MEDIUM PRESSURE STOPCOCK 〉=300-799PSI(接測壓導管或檢查導管)," ""美得靈""三方向娜米克摩斯活塞""MEDLINE"" 3-WAY NAMIC MORSE STOPCOCK(400PSI)",H965700350081;H965700350091, 個,34.0,六霖,衛署醫器輸字第010409號
111, ACS01M3SNCMR,ACS01,MEDIUM PRESSURE STOPCOCK 〉=300-799PSI(接測壓導管或檢查導管), MARQUIS SERIES STOPCOCK 500PSI,M3SNC;M3RRC;M4SNC, EA,34.0,科達,衛署醫器輸字第010266號
111, ACS01AM07M3B,ACS01,MEDIUM PRESSURE STOPCOCK 〉=300-799PSI(接測壓導管或檢查導管)," ""康德萊""旋塞閥""KDL""STOPCOCK(500PSI)",AM0107;AM0108;AM0110, 個,34.0,廣翼,衛部醫器陸輸字第000635號
111, ACS036494CBB,ACS03,抗藥型三路活塞接頭(抗Cyclosporin、Cyclophosphamide、Etoposide、Nimodipine、Phenytoin-sodium), “柏朗”輸液轉換活塞 DISCOFIX MULTIDIRECTIONAL STOPCOCKS,16494C;16495C;16496C;16497C, 個,25.0,台灣柏朗,衛署醫器輸字第019852號
111, ACVP105103B0,ACVP1,腦室腹腔引流組接頭/直式, CSF CATHETER CONNECTOR，STRAIGHT,05103(5103自1040701刪除)(05103自1040701生效), EA,380.0,長安,衛署醫器製字第001388號
111, ACVP123048CM,ACVP1,腦室腹腔引流組接頭/直式, HAKIM STRAIGHT CONNECTOR,82-3048, EA,380.0,科舉,衛署醫器輸字第007778號
111, ACVP182150CM,ACVP1,腦室腹腔引流組接頭/直式, ACCU-FLO STRAIGHT CONNECTORS(METAL，PLASTIC),82-1501;82-1504, EA,380.0,科舉,衛署醫器輸字第011237號
111, ACVP145103PM,ACVP1,腦室腹腔引流組接頭/直式, CONNECTOR,45103, EA,380.0,美敦力,衛署醫器輸字第009959號
111, ACVP105104B0,ACVP1,腦室腹腔引流組接頭/L型, CSF CATHETER CONNECTOR，RIGHT ANGLE,05104(5104自1040701刪除)(05104自1040701生效), EA,660.0,長安,衛署醫器製字第001388號
111, ACVP182151CM,ACVP1,腦室腹腔引流組接頭/L型, ACCU-FLO RIGHT ANGLE CONNECTORS(METAL，PLASTIC),82-1507;82-1511, EA,660.0,科舉,衛署醫器輸字第011237號
111, ACVP145104PM,ACVP1,腦室腹腔引流組接頭/L型, CONNECTOR L型,45104, EA,660.0,美敦力,衛署醫器輸字第009959號
111, ACVP205105B0,ACVP2,腦室腹腔引流組接頭/Y型, CSF CATHETER CONNECTOR，3-WAY,05105(5105自1040701刪除)(05105自1040701生效), EA,1600.0,長安,衛署醫器製字第001388號
111, ACVP221520CM,ACVP2,腦室腹腔引流組接頭/Y型," ""美杜思""愛可閥腦水腫引流管系統-3Way連接管""Medos""Accu-Flo Hydrocephalus Shunt System-3Way connector",82-1520:1, EA,1600.0,科舉,衛署醫器輸字第009149號
111, ACVP245105PM,ACVP2,腦室腹腔引流組接頭/Y型, 3 WAY CONNECTOR,45105, EA,1600.0,美敦力,衛署醫器輸字第009959號
111, BBB01T060CTM,BBB01,輸液加壓袋, TRANSFER BAG 600ML,BB*T060CB, EA,60.0,泰爾茂,衛署醫器輸字第008844號
111, BBB01T100BTM,BBB01,輸液加壓袋, TRANSFER BAG 1000ML,BB*T100BB, EA,60.0,泰爾茂,衛署醫器輸字第008844號
111, BBF03FB040P2,BBF03,FEEDING PUMP SET/WITH TUBE/WITH BAG," ""PAHSCO""FEEDING BAG雙袋機械式餵食袋*適應症請見備註欄",FB040(FB040自102年5月1日起刪除;M07040自102年5月1日起生效), EA,100.0,太平洋,衛署醫器製字第001378號
111, BBF03830ENBB,BBF03,FEEDING PUMP SET/WITH TUBE/WITH BAG, “柏朗”史倍斯腸道營養輸液套-一千毫升軟袋“B. BRAUN” INFUSOMAT SPACE LINE TYPE ENTERAL NUTRITION ENFIT-1000ML BAG,8250830SP, 組,100.0,台灣柏朗,衛部醫器輸字第031666號
111, BBF03831ENBB,BBF03,FEEDING PUMP SET/WITH TUBE/WITH BAG, “柏朗”史倍斯腸道營養輸液套-一千毫升軟袋/轉接器“B. BRAUN” INFUSOMAT SPACE LINE TYPE ENTERAL NUTRITION ENFIT-1000ML BAG/TRANSITION SETS,8250831SP, 組,100.0,台灣柏朗,衛部醫器輸字第031666號
